Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
HINDALCO,2026-04-10,992.1,953.2,-3.92,YES
SARVESHWAR,2026-04-10,3.93,3.77,-4.07,YES
VINNY,2026-04-09,1.16,1.11,-4.31,YES
SHANTI,2026-04-08,7.09,6.77,-4.51,YES
POWERGRID,2026-04-10,302.75,287.85,-4.92,YES
TEGA,2026-04-08,1728.9,1643.8,-4.92,YES
BRIGADE,2026-04-10,542.4,513.85,-5.26,YES
GLOBUSSPR,2026-04-08,961.3,910.5,-5.28,YES
TATAPOWER,2026-04-10,396.89,375.2,-5.47,YES
TCIEXP,2026-04-09,537.3,507.9,-5.47,YES
BEL,2026-04-10,442.45,418.05,-5.51,YES
VARDMNPOLY,2026-04-08,7.29,6.84,-6.17,YES
KSOLVES,2026-04-09,305.93,286.55,-6.33,YES
RADIOCITY,2026-04-08,6.5,6.07,-6.62,YES
TRF,2026-04-10,255.24,238.15,-6.7,YES
DONEAR,2026-04-08,92.99,86.66,-6.81,YES
SNOWMAN,2026-04-10,40.73,37.91,-6.92,YES
PNC,2026-04-09,23.12,21.48,-7.09,YES
INDOSOLAR,2026-04-10,423.85,393.45,-7.17,YES
NILAINFRA,2026-04-09,8.41,7.79,-7.37,YES
TRACXN,2026-04-10,32.83,30.29,-7.74,YES
BESTAGRO,2026-04-10,17.27,15.92,-7.82,YES
GLOBALVECT,2026-04-08,176.3,162.48,-7.84,YES
MALLCOM,2026-04-08,1101.45,1010.4,-8.27,YES
ROHLTD,2026-04-09,356.4,326.25,-8.46,YES
RKDL,2026-04-09,20.52,18.73,-8.72,YES
SHREYANIND,2026-04-08,153.92,140.39,-8.79,YES
GICRE,2026-04-10,397.6,360.95,-9.22,YES
DMART,2026-04-10,4400.6,3994.4,-9.23,YES
EMUDHRA,2026-04-08,483.13,436.65,-9.62,YES
VIVIDHA,2026-04-10,0.6,0.54,-10.0,YES
MKPL,2026-04-08,5.36,4.82,-10.07,YES
SEL,2026-04-09,207.05,186.0,-10.17,YES
ALANKIT,2026-04-08,9.05,8.13,-10.17,YES
BRNL,2026-04-08,20.35,18.28,-10.17,YES
SESHAPAPER,2026-04-08,257.85,231.48,-10.23,YES
SUMIT,2026-04-08,50.16,44.88,-10.53,YES
JSL,2026-04-10,780.85,698.15,-10.59,YES
