Stock,Reason
SANOFICONR,MA alignment failed (50>150>200)
SANSERA,Too extended above 50MA (11.6%)
SAPPHIRE,Not above 150MA/200MA
SARDAEN,Not above 150MA/200MA
SAREGAMA,MA alignment failed (50>150>200)
SBFC,Not above 150MA/200MA
SBICARD,Not above 150MA/200MA
SBILIFE,Not above 150MA/200MA
SBIN,MA alignment failed (50>150>200)
SCHAEFFLER,MA alignment failed (50>150>200)
SCHNEIDER,Too extended above 50MA (15.5%)
SCI,No confirmed retest yet
SENCO,MA alignment failed (50>150>200)
SFL,MA alignment failed (50>150>200)
SHAILY,MA alignment failed (50>150>200)
SHAKTIPUMP,Not above 150MA/200MA
SHARDACROP,Not above 150MA/200MA
SHAREINDIA,MA alignment failed (50>150>200)
SHILPAMED,Too extended above 50MA (17.0%)
SHREECEM,MA alignment failed (50>150>200)
SHRIPISTON,Too extended above 50MA (18.2%)
SHRIRAMFIN,MA alignment failed (50>150>200)
SHYAMMETL,MA alignment failed (50>150>200)
SIEMENS,Not enough distance above 52-week low
SIGNATURE,Not above 150MA/200MA
SJVN,Not above 150MA/200MA
SKFINDIA,Not above 150MA/200MA
SKFINDUS,Insufficient history (143 rows)
SKIPPER,MA alignment failed (50>150>200)
SKYGOLD,Too extended above 50MA (14.6%)
SMARTWORKS,Insufficient history (241 rows)
SMLMAH,Not above 150MA/200MA
SOBHA,MA alignment failed (50>150>200)
SOLARINDS,No fresh 50MA crossover in last 10 days
SONACOMS,Too extended above 50MA (11.4%)
SONATSOFTW,Not above 150MA/200MA
SOUTHBANK,Too extended above 50MA (10.4%)
SPARC,Too extended above 50MA (30.3%)
SPLPETRO,MA alignment failed (50>150>200)
SRF,MA alignment failed (50>150>200)
STAR,No volume surge (0.40x)
STARCEMENT,Not above 150MA/200MA
STARHEALTH,Too extended above 50MA (9.6%)
STLTECH,Too extended above 50MA (8.9%)
STYL,Insufficient history (191 rows)
STYRENIX,MA alignment failed (50>150>200)
SUBROS,Not above 150MA/200MA
SUDARSCHEM,Not above 150MA/200MA
SUDEEPPHRM,Insufficient history (151 rows)
SUMICHEM,MA alignment failed (50>150>200)
SUNDARMFIN,Not above 150MA/200MA
SUNPHARMA,Not enough distance above 52-week low
SUNTECK,Not above 150MA/200MA
SUNTV,Not above 150MA/200MA
SUPREMEIND,Not above 150MA/200MA
SUPRIYA,MA alignment failed (50>150>200)
SURYAROSNI,MA alignment failed (50>150>200)
SUZLON,MA alignment failed (50>150>200)
SWANCORP,Not above 150MA/200MA
SWIGGY,Not above 150MA/200MA
SWSOLAR,MA alignment failed (50>150>200)
SYNGENE,Not above 150MA/200MA
SYRMA,Too extended above 50MA (14.5%)
TANLA,MA alignment failed (50>150>200)
